"station","X8am","X9am","X10am","X11am","X12pm","lat","lon"
"74DA3895C1F8",46.57142857,38.58660827,18.56285145,23.55656967,28.49172037,24.149,120.681
"74DA3895C200",45.57142857,38.30352342,23.79966908,22.73661337,29.17146316,24.138,120.673
"74DA3895C20C",43,37.13755476,25.53231498,25.91605902,26.71601122,24.159,120.659
"74DA3895C216",46.75,33.65629449,18.70399975,23.21116558,26.8161078,24.166,120.678
"74DA3895C232",49.16666667,40.50121227,30.0533941,28.02367365,33.70681707,24.108,120.64
"74DA3895C234",36,38.01586205,24.74165201,23.14859841,23.21141345,24.244,120.609
"74DA3895C240",20.33333333,33.3702299,43.75239698,34.93168668,47.27421789,24.243,120.542
"74DA3895C246",20,36.60657893,45.04855481,54.74682538,46.88313216,24.229,120.532
"74DA3895C248",19.33333333,30.90229428,45.83368755,47.78811965,41.61547832,24.235,120.535
"74DA3895C24A",30,38.90168233,44.02323655,40.07735354,61.40590061,24.239,120.554
"74DA3895C24C",27.33333333,39.65081988,28.39509193,40.13132941,49.74247148,24.348,120.624
"74DA3895C24E",29.5,41.83712328,30.25956947,28.2505293,44.87668708,24.341,120.629
"74DA3895C250",11.5,11.64832879,14.27818822,16.09134763,19.18844596,24.244,120.528
"74DA3895C252",53,48.60054304,42.28881261,76.71708776,51.75778648,24.276,120.635
"74DA3895C25C",16.5,23.59113876,36.10246143,34.3076992,46.02332876,24.25,120.538
"74DA3895C25E",40,17.51191365,15.6325232,16.20801632,18.01037157,24.254,120.72
"74DA3895C26E",56,48.56488583,30.23207196,30.50424621,29.05450168,24.164,120.649
"74DA3895C276",51.5,42.434056,35.49064196,30.98440685,25.67654117,24.172,120.639
"74DA3895C278",42.5,23.13569568,22.12445338,24.48741813,34.67841156,24.249,120.697
"74DA3895C282",30,29.92296516,26.06638448,25.58692864,25.28288137,24.276,120.773
"74DA3895C28A",46,51.51095697,45.49946664,43.1851359,33.76765078,24.179,120.64
"74DA3895C28C",55,51.8557572,52.46331859,33.04466612,29.55749593,24.199,120.648
"74DA3895C2A6",17.57142857,27.09995524,38.97827014,31.33297149,42.04660475,24.201,120.522
"74DA3895C2C6",44,35.53891386,26.94698386,30.40611478,39.01672171,24.124,120.724
"74DA3895C2CC",54,45.00416167,25.87031948,29.14099603,32.37763419,24.125,120.679
"74DA3895C2CE",55.5,50.65251555,23.81311714,29.50146587,34.27819604,24.128,120.69
"74DA3895C2DE",44.5,54.74310892,50.94290586,48.26650989,48.08365687,24.123,120.752
"74DA3895C30E",38,45.23820328,25.80283384,21.0241486,22.38940618,24.168,120.759
"74DA3895C32E",41.6,28.94317955,21.29612289,19.96160941,22.17914392,24.171,120.695
"74DA3895C34A",42,41.62186398,41.69073911,41.63387976,41.67137054,24.179,120.671
"74DA3895C374",20.8,31.74237875,32.579189,28.67006708,49.15231363,24.196,120.547
"74DA3895C37C",39.6,37.86148455,25.73168276,27.50284221,19.93969833,24.157,120.632
"74DA3895C37E",36.875,34.13686507,30.35365009,31.1981291,28.95150282,24.134,120.608
"74DA3895C380",50.5,46.72438977,37.59840328,32.54506848,43.24310883,24.122,120.628
